Satellite_Capacity_W,Secondary_Capacity_Q,Num_Vehicles,Success_Rate,Best_Fitness,Mean_Fitness,Std_Fitness,Median_Fitness,Mean_Time_sec
19500,800,4,100.0%,15354.05,15456.27,71.57,15438.75,18.32
19500,900,4,100.0%,15294.00,15453.69,88.92,15459.70,17.81
19500,1000,4,100.0%,15425.00,15458.02,23.17,15464.05,17.85
19500,1100,4,100.0%,15353.00,15487.76,97.89,15565.00,17.90
19500,1200,4,100.0%,15386.00,15477.34,55.40,15509.00,24.24
20000,800,4,100.0%,15161.00,15385.95,125.40,15416.00,377.15
20000,900,4,100.0%,15378.05,15460.98,51.14,15490.05,197.55
20000,1000,4,100.0%,15290.00,15420.16,88.40,15456.00,17.64
20000,1100,4,100.0%,15282.05,15401.12,66.25,15416.00,17.62
20000,1200,4,100.0%,15353.70,15434.63,91.15,15377.70,17.60
21000,800,4,100.0%,15343.00,15396.90,35.44,15390.00,17.57
21000,900,4,100.0%,15306.00,15352.55,39.37,15337.00,197.07
21000,1000,4,100.0%,15280.00,15377.09,60.00,15399.05,197.50
21000,1100,4,100.0%,15107.70,15343.50,123.20,15402.70,17.59
21000,1200,4,100.0%,15329.70,15447.89,109.49,15393.75,202.54
22000,800,4,100.0%,15035.00,15341.48,173.65,15422.70,384.36
22000,900,4,100.0%,15259.70,15296.36,47.61,15273.00,17.57
22000,1000,4,100.0%,15270.70,15319.75,52.73,15314.00,17.57
22000,1100,4,100.0%,15206.75,15324.90,66.07,15321.70,17.60
22000,1200,4,100.0%,15117.00,15266.71,75.18,15300.05,17.87
23000,800,4,100.0%,15241.05,15327.58,67.31,15313.05,17.56
23000,900,4,100.0%,15172.05,15339.52,93.94,15356.00,17.57
23000,1000,4,100.0%,15320.70,15377.25,47.91,15358.70,17.59
23000,1100,4,100.0%,15337.00,15393.02,45.64,15413.05,17.60
23000,1200,4,100.0%,15196.00,15302.21,79.85,15284.05,17.61
